0.74	0.35	0.22	0.32	0.22	0.74	0.76	0.32	0.32	0.35	0.73	0.29	0.19	0.93	0.22	0.34	0.93	0.32	0.32	0.35	0.74	0.76	1
0.36	0.92	0.22	0.68	0.22	0.36	0.35	0.18	0.68	0.92	0.36	0.19	0.22	0.35	0.22	0.35	0.35	0.68	0.68	0.92	0.36	0.35	0.35
0.33	0.68	0.2	0.92	0.2	0.33	0.32	0.3	0.92	0.68	0.33	0.3	0.2	0.32	0.2	0.32	0.32	0.92	0.92	0.68	0.33	0.32	0.32
0.82	0.35	0.26	0.32	0.26	0.94	0.73	0.36	0.32	0.35	1	0.33	0.23	0.73	0.26	0.39	0.73	0.32	0.32	0.35	0.94	0.73	0.73
0.73	0.35	0.19	0.32	0.19	0.73	0.76	0.28	0.32	0.35	0.73	0.29	0.19	1	0.19	0.31	0.95	0.32	0.32	0.35	0.73	0.76	0.93
0.74	0.35	0.28	0.32	0.28	0.74	1	0.38	0.32	0.35	0.73	0.29	0.19	0.76	0.28	0.41	0.76	0.32	0.32	0.35	0.74	0.94	0.76
0.33	0.18	0.21	0.3	0.21	0.33	0.29	0.77	0.3	0.18	0.33	1	0.36	0.29	0.21	0.58	0.29	0.3	0.3	0.18	0.33	0.29	0.29
0.74	0.35	0.22	0.32	0.22	0.74	0.76	0.32	0.32	0.35	0.73	0.29	0.19	0.9	0.22	0.34	0.9	0.32	0.32	0.35	0.74	0.76	0.91
0.37	0.67	0.2	1	0.2	0.37	0.32	0.29	1	0.67	0.32	0.3	0.2	0.32	0.2	0.32	0.32	1	1	0.67	0.37	0.32	0.32
0.73	0.35	0.19	0.32	0.19	0.73	0.76	0.28	0.32	0.35	0.73	0.29	0.19	0.95	0.19	0.31	1	0.32	0.32	0.35	0.73	0.76	0.93
0.74	0.35	0.28	0.32	0.28	0.74	0.94	0.38	0.32	0.35	0.73	0.29	0.19	0.76	0.28	0.41	0.76	0.32	0.32	0.35	0.74	1	0.76
0.24	0.27	0.3	0.24	0.3	0.24	0.26	0.24	0.24	0.27	0.23	0.21	0.27	0.4	0.3	0.26	0.4	0.24	0.24	0.27	0.24	0.26	0.41
0.74	0.35	0.28	0.32	0.28	0.74	0.94	0.38	0.32	0.35	0.73	0.29	0.19	0.76	0.28	0.41	0.76	0.32	0.32	0.35	0.74	0.94	0.76
0.24	0.22	0.77	0.2	0.77	0.24	0.19	0.21	0.2	0.22	0.23	0.36	1	0.19	0.77	0.23	0.19	0.2	0.2	0.22	0.24	0.19	0.19
